Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
442,5,37,7.3800,0.109094,91,-50.0
443,0,37,7.3200,0.108549,11,-100.0
444,6,37,7.2700,0.108006,117,-40.0
445,13,37,7.3500,0.107466,162,30.0
446,18,37,7.5200,0.106929,264,80.0
447,10,37,7.5300,0.106394,143,0.0
448,11,37,7.5600,0.105862,148,10.0
449,18,37,7.6400,0.105333,315,80.0
450,7,37,7.6500,0.104806,134,-30.0
451,2,37,7.5500,0.104282,25,-80.0
452,13,37,7.6100,0.103761,202,30.0
453,8,37,7.6100,0.103242,112,-20.0
454,11,37,7.6900,0.102726,186,10.0
455,5,37,7.7100,0.102212,73,-50.0
456,13,37,7.7900,0.101701,202,30.0
457,11,37,7.8500,0.101192,220,10.0
458,7,37,7.8600,0.100686,115,-30.0
459,5,37,7.9000,0.100183,85,-50.0
460,17,37,7.9500,0.099682,181,70.0
461,10,37,8.0100,0.099184,143,0.0
462,11,37,8.1100,0.098688,164,10.0
463,27,37,8.3300,0.098194,358,170.0
464,2,37,8.2900,0.097703,21,-80.0
465,12,37,8.3400,0.097215,176,20.0
466,23,37,8.5100,0.096729,334,130.0
467,8,37,8.5100,0.096245,130,-20.0
468,1,37,8.4500,0.095764,21,-90.0
469,2,37,8.4300,0.095285,34,-80.0
470,7,37,8.4300,0.094809,77,-30.0
471,3,37,8.4100,0.094335,23,-70.0
472,6,37,8.3900,0.093863,62,-40.0
473,6,37,8.4200,0.093394,64,-40.0
474,18,37,8.5500,0.092927,292,80.0
475,12,37,8.5900,0.092462,174,20.0
476,6,37,8.6300,0.092000,80,-40.0
477,4,37,8.6500,0.091540,76,-60.0
478,2,37,8.6100,0.091082,17,-80.0
479,13,37,8.7200,0.090627,134,30.0
480,7,37,8.7900,0.090173,93,-30.0
481,8,37,8.7900,0.089723,102,-20.0
482,9,37,8.8600,0.089274,140,-10.0
483,4,37,8.8400,0.088828,79,-60.0
484,4,37,8.7900,0.088383,74,-60.0
485,4,37,8.7100,0.087942,58,-60.0
486,16,37,8.8600,0.087502,256,60.0
487,5,37,8.8500,0.087064,59,-50.0
488,7,37,8.9100,0.086629,71,-30.0
489,4,37,8.8400,0.086196,74,-60.0
490,4,37,8.8100,0.085765,54,-60.0
491,0,37,8.6600,0.085336,12,-100.0
492,9,37,8.6600,0.084909,149,-10.0
493,12,37,8.6500,0.084485,213,20.0
494,9,37,8.6900,0.084062,122,-10.0
495,12,37,8.7800,0.083642,178,20.0
496,3,37,8.8000,0.083224,31,-70.0
497,7,37,8.7400,0.082808,73,-30.0
498,4,37,8.7200,0.082394,79,-60.0
499,3,37,8.7100,0.081982,73,-70.0
500,12,37,8.7700,0.081572,132,20.0
501,15,15,15.0000,0.081164,245,50.0
502,11,15,13.0000,0.080758,164,10.0
503,14,15,13.3333,0.080354,162,40.0
504,22,22,15.5000,0.079953,294,120.0
505,3,22,13.0000,0.079553,54,-70.0
506,4,22,11.5000,0.079155,80,-60.0
507,15,22,12.0000,0.078759,354,50.0
508,0,22,10.5000,0.078366,50,-100.0
509,6,22,10.0000,0.077974,144,-40.0
510,9,22,9.9000,0.077584,162,-10.0
511,1,22,9.0909,0.077196,15,-90.0
512,14,22,9.5000,0.076810,228,40.0
513,1,22,8.8462,0.076426,38,-90.0
514,16,22,9.3571,0.076044,246,60.0
515,0,22,8.7333,0.075664,20,-100.0
